"","mu","sigma","nu","x","X3","X10","X25","X50","X75","X90","X97"
"28",11.7590926264474,0.192702192224451,0.312599112702198,12.4545454545455,291.210057681299,343.407438433309,402.5789731489,479.93361123328,577.338832178402,694.179041583163,857.440394983831
"29",11.831134790855,0.19189965352911,0.320613756888763,12.7676767676768,295.809956729871,348.72916716706,408.64106738521,486.82348543303,585.024357048661,702.439630214443,865.81401987783
"30",11.9002490655269,0.191100457132805,0.328628401075498,13.0808080808081,299.781919341376,353.415282364429,414.028025315007,492.935251750765,591.720808625824,709.345053171068,872.132173988889
"31",11.9663611290741,0.190304589116004,0.336643045262407,13.3939393939394,303.122615180607,357.463825894027,418.738638788651,498.268840279918,597.432686620475,714.914578680394,876.460557383732
"32",12.0295111366725,0.18951203561715,0.344657689449487,13.7070707070707,305.857505295792,360.905382712393,422.808633761772,502.86746256267,602.217310421073,719.234573320404,878.957372278292
"33",12.0897520473715,0.188722782832411,0.352672333636735,14.020202020202,308.019108612791,363.778571052009,426.282722462388,506.784641942535,606.14452071513,722.407595989066,879.803452806491
"34",12.1471439920623,0.187936817015444,0.360686977824146,14.3333333333333,309.644970126314,366.12768175991,429.211860312617,510.080950900197,609.29262574289,724.54690324317,879.19316208314
"35",12.2017707602256,0.187154124477158,0.368701622011716,14.6464646464646,310.780256468682,368.005346627188,431.656102122729,512.827278911727,611.752329720071,725.781068497312,877.339165688054
"36",12.253721012921,0.186374691585468,0.376716266199437,14.959595959596,311.473442347126,369.468137898273,433.679920089933,515.099477468479,613.619946988815,726.244444158217,874.456960198879
"37",12.3030823830813,0.185598504765065,0.384730910387303,15.2727272727273,311.77224681768,370.57208199912,435.347158337127,516.972466572786,614.99018799575,726.067879615898,870.751819497899
"38",12.3499364246159,0.184825550497177,0.39274555457531,15.5858585858586,311.711099689569,371.358057868568,436.704078238857,518.500207677646,615.932212675227,725.349929275849,866.383114724607
"39",12.3943624652621,0.184055815319329,0.400760198763453,15.8989898989899,311.319722436188,371.861848678107,437.791066535811,519.729608604657,616.50633104022,724.17693039083,861.489367418742
"40",12.4364399736711,0.183289285825117,0.408774842951725,16.2121212121212,310.627892638745,372.119667114052,438.649021994492,520.708075963783,616.773050516013,722.633867497612,856.201938028681
"41",12.4762500316902,0.182525948663968,0.41678948714012,16.5252525252525,309.663697777508,372.16489395701,439.314770533863,521.477777554147,616.786591212391,720.797762904587,850.639494448095
"42",12.513874732428,0.181765790540908,0.424804131328633,16.8383838383838,308.45420254255,372.029203167501,439.822635281143,522.077645652893,616.597106757667,718.739712118876,844.909391618057
"43",12.5493961614471,0.181008798216334,0.432818775517257,17.1515151515152,307.026368642294,371.74438639168,440.207058197133,522.546704496936,616.254391383202,716.528511699442,839.110842472179
"44",12.5828958299202,0.180254958505781,0.440833419705985,17.4646464646465,305.404818233517,371.338914301795,440.498103911606,522.91858051758,615.801567701475,714.223883044769,833.328494476555
"45",12.6144546499451,0.17950425827969,0.448848063894811,17.7777777777778,303.611959808764,370.837797335008,440.721176976484,523.22115917651,615.274722032164,711.87617470138,827.632620367851
"46",12.6441535157138,0.178756684463186,0.456862708083728,18.0909090909091,301.670533836858,370.266133200835,440.901561913709,523.48213548186,614.70930437698,709.533425729972,822.086983275756
"47",12.6720741725074,0.178012224035844,0.464877352272729,18.4040404040404,299.604895989451,369.648980729795,441.063411501447,523.727509612556,614.138636857518,707.240545933714,816.749893390364
"48",12.6982998464853,0.177270864031464,0.472891996461807,18.7171717171717,297.442598840924,369.011337316501,441.228866132059,523.980274442031,613.59256519085,705.03835768193,811.67435534532
"49",12.7229139104984,0.176532591537849,0.480906640650956,19.030303030303,295.214226528672,368.379057657825,441.420099550248,524.263246563497,613.100333801336,702.96571472655,806.908493574145
